sample,x,y,z,mag,label,activity
50,0.06,-0.07,9.81,1.0,0,Washroom
100,0.01,-0.08,9.83,1.0,0,Washroom
150,0.12,-0.08,9.82,1.0,0,Washroom
200,-0.05,-0.18,9.84,1.0,0,Washroom
250,0.01,-0.13,9.82,1.0,0,Washroom
300,0.05,-0.13,9.8,1.0,0,Washroom
350,0.07,-0.11,9.82,1.0,0,Washroom
400,0.94,-2.32,12.69,1.32,0,Washroom
450,-10.4,-1.73,3.29,1.13,0,Washroom
500,-1.88,-1.16,10.04,1.05,0,Washroom
550,1.92,-1.97,6.13,0.69,0,Washroom
600,1.21,1.73,9.69,1.01,0,Washroom
650,1.64,-4.65,-2.8,0.58,0,Washroom
700,1.39,-9.58,-2.06,1.01,0,Washroom
750,-1.32,-11.05,-1.96,1.15,0,Washroom
800,0.54,-11.36,-3.09,1.2,0,Washroom
850,3.23,-5.88,-0.79,0.69,0,Washroom
900,0.81,-19.83,-5.71,2.11,0,Washroom
950,1.37,-2.7,-9.89,1.05,0,Washroom
1000,1.0,0.09,-9.53,0.98,0,Washroom
1050,0.25,-1.2,-9.89,1.02,0,Washroom
1100,0.39,-0.37,-9.83,1.0,0,Washroom
1150,0.66,1.56,-9.52,0.99,0,Washroom
1200,0.85,1.46,-9.67,1.0,0,Washroom
1250,0.63,1.66,-9.65,1.0,0,Washroom
1300,0.43,1.51,-9.59,0.99,0,Washroom
1350,0.43,1.33,-9.67,1.0,0,Washroom
1400,0.33,1.38,-9.64,0.99,0,Washroom
1450,0.25,1.36,-9.64,0.99,0,Washroom
1500,0.45,1.24,-9.69,1.0,0,Washroom
1550,0.19,1.34,-9.71,1.0,0,Washroom
1600,0.34,1.4,-9.68,1.0,0,Washroom
1650,0.39,1.53,-9.64,1.0,0,Washroom
1700,0.34,1.0,-9.79,1.0,0,Washroom
1750,0.16,0.53,-9.83,1.0,0,Washroom
1800,0.04,0.95,-9.94,1.02,0,Washroom
1850,0.44,1.92,-9.52,0.99,0,Washroom
1900,0.14,2.28,-9.4,0.99,0,Washroom
1950,0.6,1.44,-9.76,1.01,0,Washroom
2000,0.15,3.2,-9.26,1.0,0,Washroom
2050,0.84,3.92,-8.81,0.99,0,Washroom
2100,0.56,3.74,-8.91,0.99,0,Washroom
2150,0.73,3.8,-8.9,0.99,0,Washroom
2200,0.68,3.56,-9.17,1.01,0,Washroom
2250,0.5,3.71,-9.02,1.0,0,Washroom
2300,0.47,3.72,-8.98,0.99,0,Washroom
2350,0.66,3.48,-9.13,1.0,0,Washroom
2400,0.37,2.92,-9.33,1.0,0,Washroom
2450,0.38,2.93,-9.24,0.99,0,Washroom
2500,0.42,-2.09,-8.81,0.92,0,Washroom
2550,-0.7,-8.91,0.25,0.91,0,Washroom
2600,-4.48,-8.51,4.73,1.09,0,Washroom
2650,-3.0,-9.07,4.42,1.07,0,Washroom
2700,-0.7,-10.09,0.88,1.04,0,Washroom
2750,1.99,-9.85,-1.82,1.04,0,Washroom
2800,1.02,-10.01,-0.7,1.03,0,Washroom
2850,0.19,-9.9,-0.02,1.01,0,Washroom
2900,-0.2,-9.84,0.62,1.01,0,Washroom
2950,-0.2,-9.7,0.58,0.99,0,Washroom
3000,0.38,-9.43,-0.51,0.96,0,Washroom
3050,3.36,-15.75,-3.18,1.67,0,Washroom
3100,-2.34,-5.26,0.39,0.59,0,Washroom
3150,-0.82,-9.45,-0.63,0.97,0,Washroom
3200,-0.39,-9.67,-1.32,1.0,0,Washroom
4000,-0.33,0.46,9.8,1.0,0,Rest
4050,-0.31,0.46,9.79,1.0,0,Rest
4100,-0.32,0.47,9.79,1.0,0,Rest
4150,-0.42,0.46,9.78,1.0,0,Rest
4200,-0.43,0.47,9.8,1.0,0,Rest
4250,-0.42,0.47,9.79,1.0,0,Rest
4300,-0.42,0.47,9.78,1.0,0,Rest
4350,-0.41,0.47,9.8,1.0,0,Rest
4400,-0.27,0.39,9.81,1.0,0,Rest
4450,-0.22,0.42,9.82,1.0,0,Rest
5000,-0.24,-0.17,9.81,1.0,1,Fall
5050,2.54,3.59,13.03,1.4,1,Fall
5100,-4.44,3.9,1.19,0.61,1,Fall
5150,-0.44,0.03,9.8,1.0,1,Fall
5200,-0.78,3.1,4.55,0.57,1,Fall
5250,-8.61,0.06,-3.42,0.95,1,Fall
5300,-13.02,1.31,-1.56,1.34,1,Fall
5350,0.1,0.22,9.8,1.0,1,Fall
5400,-4.08,-5.71,-0.18,0.72,1,Fall
5450,-0.17,0.05,-9.73,0.99,1,Fall
5500,-0.07,-0.03,0.5,0.05,1,Fall
5550,5.12,-0.2,7.83,0.95,1,Fall
5600,0.28,0.41,9.77,1.0,1,Fall
5650,4.62,2.83,0.64,0.56,1,Fall
5700,-2.52,1.75,4.48,0.55,1,Fall
